,date,ticker,open,high,low,close,volume
0,2024-01-28,MMM,80.2676,81.0117,79.7993,80.5853,4544779.668
1,2024-01-29,MMM,80.4097,80.694,79.2475,80.0585,3827745.376
2,2024-01-30,MMM,80.2174,80.2174,78.7291,78.888,8260567.484
3,2024-01-31,MMM,78.9214,80.2843,78.5452,80.1923,3943628.208
4,2024-02-01,MMM,79.6656,79.7659,78.8378,79.3227,4440318.636
5,2024-02-04,MMM,78.8043,78.8043,77.408,77.5334,5354356.852
6,2024-02-05,MMM,77.5418,78.4699,77.2575,78.3946,4458290.928
7,2024-02-06,MMM,79.097,79.189,78.1773,78.4615,4521909.756
8,2024-02-07,MMM,78.7207,78.913,77.5167,77.9264,4741296.82
9,2024-02-08,MMM,77.9264,78.01,77.2492,77.6756,4388230.444
10,2024-02-11,MMM,77.8595,79.4816,77.801,79.1221,4893667.22
11,2024-02-12,MMM,78.01,78.587,76.413,77.4749,5496294.544
12,2024-02-13,MMM,77.7592,77.9599,77.0652,77.2742,6024090.54
13,2024-02-14,MMM,76.505,77.3913,76.1789,77.2408,4559399.572
14,2024-02-15,MMM,76.806,76.9649,76.2584,76.296,5345569.84
15,2024-02-19,MMM,76.1706,77.3328,75.6856,76.7726,5174615.992
16,2024-02-20,MMM,76.6137,76.898,76.0702,76.6806,4065616.62
17,2024-02-21,MMM,76.5552,77.2742,76.204,77.1154,5011814.08
18,2024-02-22,MMM,77.2492,77.709,76.8478,77.408,3774440.852
19,2024-02-25,MMM,77.0736,77.3411,76.4548,76.7726,3914387.204
20,2024-02-26,MMM,76.9231,77.2157,76.4883,77.1739,2737056.764
21,2024-02-27,MMM,76.9231,77.4498,76.4339,76.4716,3543042.36
22,2024-02-28,MMM,76.9231,77.1649,76.388,77.0234,6169428.46
23,2024-02-29,MMM,76.9565,76.9565,75.995,76.806,4064086.936
24,2024-03-03,MMM,76.1706,76.7977,75.6492,76.4548,6678755.824
25,2024-03-04,MMM,76.6472,78.0853,76.5635,77.5,5251624.04
26,2024-03-05,MMM,78.1689,78.3361,76.8645,77.3579,3591383.484
27,2024-03-06,MMM,77.801,78.01,77.0109,77.4415,3751608.016
28,2024-03-07,MMM,78.1689,79.214,77.9097,78.5117,4925867.128
29,2024-03-10,MMM,78.5786,78.9758,78.1407,78.6371,4206593.924
30,2024-03-11,MMM,83.7793,84.3227,81.2308,82.5418,16737321.536
31,2024-03-12,MMM,83.3779,87.0318,82.9431,87.0151,12935349.96
32,2024-03-13,MMM,86.4214,87.408,85.4849,86.2207,8282543.984
33,2024-03-14,MMM,86.1204,88.2441,85.9365,87.7926,32098977.56
34,2024-03-17,MMM,87.3997,88.8712,87.3077,87.6254,6622524.688
35,2024-03-18,MMM,88.4532,89.4649,87.4189,88.0602,6987877.572
36,2024-03-19,MMM,87.7843,91.2207,87.3244,90.393,8390243.784
37,2024-03-20,MMM,90.4682,91.296,90.1254,90.1923,7886627.32
38,2024-03-21,MMM,89.9666,90.4013,89.2559,89.2809,5321297.02
39,2024-03-24,MMM,88.5452,89.306,87.6087,87.6589,6679992.488
40,2024-03-25,MMM,87.0067,87.5167,85.6187,85.811,7279736.256
41,2024-03-26,MMM,86.1204,87.5959,86.112,87.4498,4641703.508
42,2024-03-27,MMM,87.4666,88.8462,87.4498,88.6873,5245777.992
43,2024-03-31,MMM,91.05,94.34,88.23,94.02,13004810.0
44,2024-04-01,MMM,93.1,94.42,91.9,92.84,8911976.0
45,2024-04-02,MMM,93.34,94.7,92.5,93.19,6060218.0
46,2024-04-03,MMM,94.49,95.6667,90.23,90.54,5864178.0
47,2024-04-04,MMM,90.43,91.42,89.54,91.03,3514007.0
48,2024-04-07,MMM,91.2,92.89,91.2,91.93,3706736.0
49,2024-04-08,MMM,92.1,93.2,92.0,92.61,4237654.0
50,2024-04-09,MMM,91.78,92.71,90.57,92.63,3494855.0
51,2024-04-10,MMM,92.84,93.56,92.48,93.18,2993671.0
52,2024-04-11,MMM,92.76,92.81,91.145,91.31,3590782.0
53,2024-04-14,MMM,91.98,92.775,90.7465,91.3,3675020.0
54,2024-04-15,MMM,90.94,91.33,90.17,91.05,3036971.0
55,2024-04-16,MMM,91.73,92.105,90.3302,90.96,3421571.0
56,2024-04-17,MMM,91.4,92.43,90.87,91.48,3069409.0
57,2024-04-18,MMM,91.24,92.4,91.1,92.27,3588522.0
58,2024-04-21,MMM,92.54,92.7078,91.7,92.62,2992931.0
59,2024-04-22,MMM,92.98,94.04,92.785,93.0,3729824.0
60,2024-04-23,MMM,92.59,93.23,91.4185,92.02,3813358.0
61,2024-04-24,MMM,91.59,92.0,90.65,91.41,2954822.0
62,2024-04-25,MMM,91.5,92.19,91.08,91.83,4520901.0
63,2024-04-28,MMM,91.56,92.62,91.56,92.16,4957288.0
64,2024-04-29,MMM,95.73,97.8399,93.78,96.51,16731854.0
65,2024-04-30,MMM,98.1,99.7,97.28,98.44,11064300.0
66,2024-05-01,MMM,97.96,98.4,96.65,96.81,6317061.0
67,2024-05-02,MMM,97.58,98.19,96.84,97.15,4818713.0
68,2024-05-05,MMM,97.09,97.75,96.54,96.59,4329454.0
69,2024-05-06,MMM,96.59,97.18,95.52,95.54,4408969.0
70,2024-05-07,MMM,95.39,96.44,95.01,96.35,3489861.0
71,2024-05-08,MMM,96.09,97.375,95.9,97.33,2584177.0
72,2024-05-09,MMM,98.55,99.66,98.1701,98.93,4157896.0
73,2024-05-12,MMM,99.0,101.74,99.0,99.63,5578802.0
74,2024-05-13,MMM,99.93,101.2,99.8,100.08,2973067.0
75,2024-05-14,MMM,100.19,101.67,100.15,101.24,4203343.0
76,2024-05-15,MMM,101.72,105.22,101.59,104.86,8384504.0
77,2024-05-16,MMM,105.21,105.72,104.68,105.26,5396497.0
78,2024-05-19,MMM,105.22,106.04,104.63,105.21,3962667.0
79,2024-05-20,MMM,104.89,105.04,102.65,103.14,4602985.0
80,2024-05-21,MMM,102.64,103.11,100.95,101.49,3807843.0
81,2024-05-22,MMM,100.42,100.52,98.91,99.51,3845510.0
82,2024-05-23,MMM,99.81,100.52,99.3388,99.67,2602227.0
83,2024-05-27,MMM,99.56,100.11,97.82,98.68,4361056.0
84,2024-05-28,MMM,97.8,97.9,96.76,97.56,4826562.0
85,2024-05-29,MMM,97.69,98.23,96.89,98.2,4520612.0
86,2024-05-30,MMM,98.06,100.25,97.42,100.14,21754438.0
87,2024-06-02,MMM,100.37,100.79,98.97,99.76,4508226.0
88,2024-06-03,MMM,99.0,99.402,97.68,98.61,4988057.0
89,2024-06-04,MMM,98.82,99.65,97.87,99.06,3115445.0
90,2024-06-05,MMM,98.8,99.55,98.16,98.22,2509997.0
91,2024-06-06,MMM,99.51,101.96,98.4,100.86,5636659.0
92,2024-06-09,MMM,100.43,101.84,100.28,100.66,3507587.0
93,2024-06-10,MMM,100.1,101.47,99.225,101.32,2831634.0
94,2024-06-11,MMM,102.62,103.68,100.76,101.21,3704729.0
95,2024-06-12,MMM,102.02,102.8,100.74,101.54,5034653.0
96,2024-06-13,MMM,100.5,101.42,99.305,100.9,2685142.0
97,2024-06-16,MMM,99.98,101.44,99.92,100.53,3490032.0
98,2024-06-17,MMM,100.07,101.465,100.06,100.77,3446167.0
99,2024-06-19,MMM,100.26,102.34,100.19,101.66,3476766.0
100,2024-06-20,MMM,101.93,102.44,100.945,102.39,7866227.0
101,2024-06-23,MMM,102.18,103.5,101.68,102.99,2947967.0
102,2024-06-24,MMM,102.88,103.18,101.29,102.05,5164160.0
103,2024-06-25,MMM,101.62,101.8,100.57,101.45,2356088.0
104,2024-06-26,MMM,101.96,104.04,101.64,103.17,4338345.0
105,2024-06-27,MMM,103.01,103.97,101.66,102.19,6196466.0
106,2024-06-30,MMM,102.86,103.4494,100.205,100.61,2705605.0
107,2024-07-01,MMM,100.56,101.93,100.46,101.62,2291274.0
108,2024-07-02,MMM,101.29,102.15,100.68,101.62,1230776.0
109,2024-07-04,MMM,101.4,101.66,100.64,101.32,3059577.0
110,2024-07-07,MMM,101.51,102.74,100.62,101.1,2338695.0
111,2024-07-08,MMM,100.85,101.46,99.472,99.69,2809735.0
112,2024-07-09,MMM,99.81,101.83,98.26,101.67,4519547.0
113,2024-07-10,MMM,102.38,104.27,101.8002,103.23,4581327.0
114,2024-07-11,MMM,103.79,105.3,103.69,104.04,3381190.0
115,2024-07-14,MMM,104.9,104.9975,102.57,102.72,3316717.0
116,2024-07-15,MMM,100.87,103.69,100.87,103.31,3609174.0
117,2024-07-16,MMM,102.86,104.8,102.69,104.64,3567941.0
118,2024-07-17,MMM,104.22,105.52,103.44,104.02,3023902.0
119,2024-07-18,MMM,104.75,104.75,103.13,103.92,2884897.0
120,2024-07-21,MMM,104.06,105.04,102.4,104.97,2686587.0
121,2024-07-22,MMM,105.0,105.27,104.17,104.73,2172621.0
122,2024-07-23,MMM,104.56,105.1,103.08,103.25,3252198.0
123,2024-07-24,MMM,102.72,104.79,101.77,103.39,4598084.0
124,2024-07-25,MMM,112.685,128.025,112.685,127.16,32748920.0
125,2024-07-28,MMM,128.0,128.65,124.13,125.16,10816738.0
126,2024-07-29,MMM,125.85,127.69,124.1074,126.75,6746475.0
127,2024-07-30,MMM,126.63,128.6,125.33,127.55,6889922.0
128,2024-07-31,MMM,127.5,127.94,124.43,126.47,5563739.0
129,2024-08-01,MMM,125.81,127.745,124.78,125.24,4021383.0
130,2024-08-04,MMM,119.57,125.3154,119.31,124.61,6669666.0
131,2024-08-05,MMM,123.36,126.13,122.72,124.89,4334268.0
132,2024-08-06,MMM,125.39,126.57,122.69,122.83,3410105.0
133,2024-08-07,MMM,122.45,125.74,122.18,125.13,2932882.0
134,2024-08-08,MMM,124.64,124.64,123.335,124.17,3247914.0
